nt 51400001
NFil 2 
irLigand 2.250000
brLigand 1.000000
Force 0.000000
kdimer 0.000000
dimerDist0 1.000000
baseSepDistance 1.000000
iSite[nf][iy] 0 3 3
POcclude[nf][iy] 0 3 9.112007e-01
1-POcclude[nf][iy] 0 3 8.879926e-02
PMembraneOcclude[nf][iy] 0 3 0.000000e+00
Prvec0[nf][iy] 0 3 4.472042e-02
rMiSiteBar[nf][iy] 0 3 -0.001571
rM2iSiteBar[nf][iy] 0 3 1.258807
iSite[nf][iy] 0 4 4
POcclude[nf][iy] 0 4 9.113542e-01
1-POcclude[nf][iy] 0 4 8.864584e-02
PMembraneOcclude[nf][iy] 0 4 0.000000e+00
Prvec0[nf][iy] 0 4 2.948856e-02
rMiSiteBar[nf][iy] 0 4 0.000001
rM2iSiteBar[nf][iy] 0 4 1.592457
iSite[nf][iy] 0 5 5
POcclude[nf][iy] 0 5 9.095818e-01
1-POcclude[nf][iy] 0 5 9.041820e-02
PMembraneOcclude[nf][iy] 0 5 0.000000e+00
Prvec0[nf][iy] 0 5 2.399090e-02
rMiSiteBar[nf][iy] 0 5 0.000419
rM2iSiteBar[nf][iy] 0 5 1.928603
iSite[nf][iy] 0 6 6
POcclude[nf][iy] 0 6 9.096712e-01
1-POcclude[nf][iy] 0 6 9.032877e-02
PMembraneOcclude[nf][iy] 0 6 0.000000e+00
Prvec0[nf][iy] 0 6 2.009723e-02
rMiSiteBar[nf][iy] 0 6 -0.000324
rM2iSiteBar[nf][iy] 0 6 2.265985
iSite[nf][iy] 0 7 7
POcclude[nf][iy] 0 7 9.109134e-01
1-POcclude[nf][iy] 0 7 8.908658e-02
PMembraneOcclude[nf][iy] 0 7 0.000000e+00
Prvec0[nf][iy] 0 7 1.686992e-02
rMiSiteBar[nf][iy] 0 7 -0.000120
rM2iSiteBar[nf][iy] 0 7 2.612105
iSite[nf][iy] 0 8 8
POcclude[nf][iy] 0 8 9.080267e-01
1-POcclude[nf][iy] 0 8 9.197334e-02
PMembraneOcclude[nf][iy] 0 8 0.000000e+00
Prvec0[nf][iy] 0 8 1.470387e-02
rMiSiteBar[nf][iy] 0 8 -0.001665
rM2iSiteBar[nf][iy] 0 8 2.941227
iSite[nf][iy] 0 9 9
POcclude[nf][iy] 0 9 9.095436e-01
1-POcclude[nf][iy] 0 9 9.045638e-02
PMembraneOcclude[nf][iy] 0 9 0.000000e+00
Prvec0[nf][iy] 0 9 1.196701e-02
rMiSiteBar[nf][iy] 0 9 -0.001005
rM2iSiteBar[nf][iy] 0 9 3.272451
iSite[nf][iy] 0 10 10
POcclude[nf][iy] 0 10 9.070927e-01
1-POcclude[nf][iy] 0 10 9.290730e-02
PMembraneOcclude[nf][iy] 0 10 0.000000e+00
Prvec0[nf][iy] 0 10 1.086246e-02
rMiSiteBar[nf][iy] 0 10 -0.001556
rM2iSiteBar[nf][iy] 0 10 3.605913
iSite[nf][iy] 0 11 11
POcclude[nf][iy] 0 11 9.090500e-01
1-POcclude[nf][iy] 0 11 9.095000e-02
PMembraneOcclude[nf][iy] 0 11 0.000000e+00
Prvec0[nf][iy] 0 11 9.634953e-03
rMiSiteBar[nf][iy] 0 11 -0.002116
rM2iSiteBar[nf][iy] 0 11 3.930852
iSite[nf][iy] 0 12 12
POcclude[nf][iy] 0 12 9.095388e-01
1-POcclude[nf][iy] 0 12 9.046123e-02
PMembraneOcclude[nf][iy] 0 12 0.000000e+00
Prvec0[nf][iy] 0 12 8.627340e-03
rMiSiteBar[nf][iy] 0 12 -0.001442
rM2iSiteBar[nf][iy] 0 12 4.259387
iSite[nf][iy] 0 13 13
POcclude[nf][iy] 0 13 9.066639e-01
1-POcclude[nf][iy] 0 13 9.333609e-02
PMembraneOcclude[nf][iy] 0 13 0.000000e+00
Prvec0[nf][iy] 0 13 7.613740e-03
rMiSiteBar[nf][iy] 0 13 -0.000453
rM2iSiteBar[nf][iy] 0 13 4.594564
iSite[nf][iy] 0 14 14
POcclude[nf][iy] 0 14 9.049474e-01
1-POcclude[nf][iy] 0 14 9.505263e-02
PMembraneOcclude[nf][iy] 0 14 0.000000e+00
Prvec0[nf][iy] 0 14 6.898326e-03
rMiSiteBar[nf][iy] 0 14 0.000499
rM2iSiteBar[nf][iy] 0 14 4.923861
iSite[nf][iy] 0 15 15
POcclude[nf][iy] 0 15 9.031739e-01
1-POcclude[nf][iy] 0 15 9.682613e-02
PMembraneOcclude[nf][iy] 0 15 0.000000e+00
Prvec0[nf][iy] 0 15 6.405572e-03
rMiSiteBar[nf][iy] 0 15 -0.000238
rM2iSiteBar[nf][iy] 0 15 5.253246
iSite[nf][iy] 0 16 16
POcclude[nf][iy] 0 16 9.045045e-01
1-POcclude[nf][iy] 0 16 9.549549e-02
PMembraneOcclude[nf][iy] 0 16 0.000000e+00
Prvec0[nf][iy] 0 16 5.794235e-03
rMiSiteBar[nf][iy] 0 16 -0.000674
rM2iSiteBar[nf][iy] 0 16 5.584444
iSite[nf][iy] 0 17 17
POcclude[nf][iy] 0 17 9.016890e-01
1-POcclude[nf][iy] 0 17 9.831101e-02
PMembraneOcclude[nf][iy] 0 17 0.000000e+00
Prvec0[nf][iy] 0 17 5.589765e-03
rMiSiteBar[nf][iy] 0 17 -0.001395
rM2iSiteBar[nf][iy] 0 17 5.920734
iSite[nf][iy] 0 18 18
POcclude[nf][iy] 0 18 9.005936e-01
1-POcclude[nf][iy] 0 18 9.940642e-02
PMembraneOcclude[nf][iy] 0 18 0.000000e+00
Prvec0[nf][iy] 0 18 5.084116e-03
rMiSiteBar[nf][iy] 0 18 -0.000672
rM2iSiteBar[nf][iy] 0 18 6.251822
iSite[nf][iy] 0 19 19
POcclude[nf][iy] 0 19 8.991280e-01
1-POcclude[nf][iy] 0 19 1.008720e-01
PMembraneOcclude[nf][iy] 0 19 0.000000e+00
Prvec0[nf][iy] 0 19 4.668959e-03
rMiSiteBar[nf][iy] 0 19 0.000082
rM2iSiteBar[nf][iy] 0 19 6.588355
iSite[nf][iy] 0 20 20
POcclude[nf][iy] 0 20 8.958704e-01
1-POcclude[nf][iy] 0 20 1.041296e-01
PMembraneOcclude[nf][iy] 0 20 0.000000e+00
Prvec0[nf][iy] 0 20 4.230316e-03
rMiSiteBar[nf][iy] 0 20 -0.000515
rM2iSiteBar[nf][iy] 0 20 6.928891
iSite[nf][iy] 0 21 21
POcclude[nf][iy] 0 21 8.939595e-01
1-POcclude[nf][iy] 0 21 1.060405e-01
PMembraneOcclude[nf][iy] 0 21 0.000000e+00
Prvec0[nf][iy] 0 21 4.151107e-03
rMiSiteBar[nf][iy] 0 21 -0.000669
rM2iSiteBar[nf][iy] 0 21 7.264058
iSite[nf][iy] 0 22 22
POcclude[nf][iy] 0 22 8.891416e-01
1-POcclude[nf][iy] 0 22 1.108584e-01
PMembraneOcclude[nf][iy] 0 22 0.000000e+00
Prvec0[nf][iy] 0 22 3.872264e-03
rMiSiteBar[nf][iy] 0 22 -0.001993
rM2iSiteBar[nf][iy] 0 22 7.599004
iSite[nf][iy] 0 23 23
POcclude[nf][iy] 0 23 8.870306e-01
1-POcclude[nf][iy] 0 23 1.129694e-01
PMembraneOcclude[nf][iy] 0 23 0.000000e+00
Prvec0[nf][iy] 0 23 3.563486e-03
rMiSiteBar[nf][iy] 0 23 -0.001982
rM2iSiteBar[nf][iy] 0 23 7.936357
iSite[nf][iy] 0 24 24
POcclude[nf][iy] 0 24 8.827302e-01
1-POcclude[nf][iy] 0 24 1.172698e-01
PMembraneOcclude[nf][iy] 0 24 0.000000e+00
Prvec0[nf][iy] 0 24 3.322405e-03
rMiSiteBar[nf][iy] 0 24 -0.002041
rM2iSiteBar[nf][iy] 0 24 8.272739
iSite[nf][iy] 0 25 25
POcclude[nf][iy] 0 25 8.765035e-01
1-POcclude[nf][iy] 0 25 1.234965e-01
PMembraneOcclude[nf][iy] 0 25 0.000000e+00
Prvec0[nf][iy] 0 25 3.138198e-03
rMiSiteBar[nf][iy] 0 25 -0.001815
rM2iSiteBar[nf][iy] 0 25 8.602912
iSite[nf][iy] 0 26 26
POcclude[nf][iy] 0 26 8.655212e-01
1-POcclude[nf][iy] 0 26 1.344788e-01
PMembraneOcclude[nf][iy] 0 26 0.000000e+00
Prvec0[nf][iy] 0 26 3.027214e-03
rMiSiteBar[nf][iy] 0 26 -0.000087
rM2iSiteBar[nf][iy] 0 26 8.942465
iSite[nf][iy] 0 27 27
POcclude[nf][iy] 0 27 8.494883e-01
1-POcclude[nf][iy] 0 27 1.505117e-01
PMembraneOcclude[nf][iy] 0 27 0.000000e+00
Prvec0[nf][iy] 0 27 2.957675e-03
rMiSiteBar[nf][iy] 0 27 -0.000113
rM2iSiteBar[nf][iy] 0 27 9.274421
iSite[nf][iy] 0 28 28
POcclude[nf][iy] 0 28 8.223320e-01
1-POcclude[nf][iy] 0 28 1.776680e-01
PMembraneOcclude[nf][iy] 0 28 0.000000e+00
Prvec0[nf][iy] 0 28 2.699555e-03
rMiSiteBar[nf][iy] 0 28 -0.000234
rM2iSiteBar[nf][iy] 0 28 9.608813
iSite[nf][iy] 0 29 29
POcclude[nf][iy] 0 29 7.082550e-01
1-POcclude[nf][iy] 0 29 2.917450e-01
PMembraneOcclude[nf][iy] 0 29 0.000000e+00
Prvec0[nf][iy] 0 29 2.563472e-03
rMiSiteBar[nf][iy] 0 29 -0.000152
rM2iSiteBar[nf][iy] 0 29 9.934178
1-POccludeBase[nf] 0 9.496318e-02reeFilBar[nf][nf2] 0 0 0.000000
 reeFilBar[nf][nf2] 0 1 7.204356
 ree2FilBar[nf][nf2] 0 0 0.000000
ree2FilBar[nf][nf2] 0 1 61.011847
reeiSiteBar[nf][iy] 0 0 1.000000
ree2iSiteBar[nf][iy] 0 0 1.000000
reeiSiteBar[nf][iy] 0 1 1.354037
ree2iSiteBar[nf][iy] 0 1 1.999056
reeiSiteBar[nf][iy] 0 2 1.638165
ree2iSiteBar[nf][iy] 0 2 3.004505
reeiSiteBar[nf][iy] 0 3 1.873456
ree2iSiteBar[nf][iy] 0 3 3.986690
reeiSiteBar[nf][iy] 0 4 2.085905
ree2iSiteBar[nf][iy] 0 4 4.977642
reeiSiteBar[nf][iy] 0 5 2.281820
ree2iSiteBar[nf][iy] 0 5 5.984385
reeiSiteBar[nf][iy] 0 6 2.462414
ree2iSiteBar[nf][iy] 0 6 6.993328
reeiSiteBar[nf][iy] 0 7 2.633012
ree2iSiteBar[nf][iy] 0 7 8.023106
reeiSiteBar[nf][iy] 0 8 2.788215
ree2iSiteBar[nf][iy] 0 8 9.017060
reeiSiteBar[nf][iy] 0 9 2.936736
ree2iSiteBar[nf][iy] 0 9 10.017613
reeiSiteBar[nf][iy] 0 10 3.078340
ree2iSiteBar[nf][iy] 0 10 11.018468
reeiSiteBar[nf][iy] 0 11 3.211564
ree2iSiteBar[nf][iy] 0 11 12.003073
reeiSiteBar[nf][iy] 0 12 3.340209
ree2iSiteBar[nf][iy] 0 12 12.997545
reeiSiteBar[nf][iy] 0 13 3.463961
ree2iSiteBar[nf][iy] 0 13 13.993306
reeiSiteBar[nf][iy] 0 14 3.582930
ree2iSiteBar[nf][iy] 0 14 14.981532
reeiSiteBar[nf][iy] 0 15 3.697183
ree2iSiteBar[nf][iy] 0 15 15.963608
reeiSiteBar[nf][iy] 0 16 3.809319
ree2iSiteBar[nf][iy] 0 16 16.954061
reeiSiteBar[nf][iy] 0 17 3.919551
ree2iSiteBar[nf][iy] 0 17 17.956479
reeiSiteBar[nf][iy] 0 18 4.025424
ree2iSiteBar[nf][iy] 0 18 18.947509
reeiSiteBar[nf][iy] 0 19 4.130349
ree2iSiteBar[nf][iy] 0 19 19.958276
reeiSiteBar[nf][iy] 0 20 4.234245
ree2iSiteBar[nf][iy] 0 20 20.979582
reeiSiteBar[nf][iy] 0 21 4.332862
ree2iSiteBar[nf][iy] 0 21 21.977592
reeiSiteBar[nf][iy] 0 22 4.429869
ree2iSiteBar[nf][iy] 0 22 22.976959
reeiSiteBar[nf][iy] 0 23 4.525331
ree2iSiteBar[nf][iy] 0 23 23.987877
reeiSiteBar[nf][iy] 0 24 4.618249
ree2iSiteBar[nf][iy] 0 24 24.988709
reeiSiteBar[nf][iy] 0 25 4.708441
ree2iSiteBar[nf][iy] 0 25 25.978857
reeiSiteBar[nf][iy] 0 26 4.798817
ree2iSiteBar[nf][iy] 0 26 26.991662
reeiSiteBar[nf][iy] 0 27 4.886127
ree2iSiteBar[nf][iy] 0 27 27.992102
reeiSiteBar[nf][iy] 0 28 4.972488
ree2iSiteBar[nf][iy] 0 28 28.993016
reeiSiteBar[nf][iy] 0 29 5.055750
ree2iSiteBar[nf][iy] 0 29 29.979263
N[nf] 1 30
ksStatistic[nf] 1 0.002839
reeBar[nf] 1 5.055259
ree2Bar[nf] 1 29.967200
rMBar[nf] 1 -0.008626
rM2Bar[nf] 1 9.897161
iSite[nf][iy] 1 0 0
POcclude[nf][iy] 1 0 9.059398e-01
1-POcclude[nf][iy] 1 0 9.406019e-02
PMembraneOcclude[nf][iy] 1 0 0.000000e+00
Prvec0[nf][iy] 1 0 0.000000e+00
rMiSiteBar[nf][iy] 1 0 -0.000421
rM2iSiteBar[nf][iy] 1 0 0.251211
iSite[nf][iy] 1 1 1
POcclude[nf][iy] 1 1 9.123275e-01
1-POcclude[nf][iy] 1 1 8.767248e-02
PMembraneOcclude[nf][iy] 1 1 0.000000e+00
Prvec0[nf][iy] 1 1 1.688776e-01
rMiSiteBar[nf][iy] 1 1 -0.002304
rM2iSiteBar[nf][iy] 1 1 0.593610
iSite[nf][iy] 1 2 2
POcclude[nf][iy] 1 2 9.100507e-01
1-POcclude[nf][iy] 1 2 8.994930e-02
PMembraneOcclude[nf][iy] 1 2 0.000000e+00
Prvec0[nf][iy] 1 2 4.510035e-02
rMiSiteBar[nf][iy] 1 2 -0.004837
rM2iSiteBar[nf][iy] 1 2 0.926296
iSite[nf][iy] 1 3 3
POcclude[nf][iy] 1 3 9.109464e-01
1-POcclude[nf][iy] 1 3 8.905355e-02
PMembraneOcclude[nf][iy] 1 3 0.000000e+00
Prvec0[nf][iy] 1 3 4.497808e-02
rMiSiteBar[nf][iy] 1 3 -0.003343
rM2iSiteBar[nf][iy] 1 3 1.256765
iSite[nf][iy] 1 4 4
POcclude[nf][iy] 1 4 9.102072e-01
1-POcclude[nf][iy] 1 4 8.979277e-02
PMembraneOcclude[nf][iy] 1 4 0.000000e+00
Prvec0[nf][iy] 1 4 3.211282e-02
rMiSiteBar[nf][iy] 1 4 -0.000997
rM2iSiteBar[nf][iy] 1 4 1.595422
iSite[nf][iy] 1 5 5
POcclude[nf][iy] 1 5 9.108865e-01
1-POcclude[nf][iy] 1 5 8.911353e-02
PMembraneOcclude[nf][iy] 1 5 0.000000e+00
Prvec0[nf][iy] 1 5 2.501279e-02
rMiSiteBar[nf][iy] 1 5 -0.003936
rM2iSiteBar[nf][iy] 1 5 1.924445
iSite[nf][iy] 1 6 6
POcclude[nf][iy] 1 6 9.087626e-01
1-POcclude[nf][iy] 1 6 9.123744e-02
PMembraneOcclude[nf][iy] 1 6 0.000000e+00
Prvec0[nf][iy] 1 6 1.995354e-02
rMiSiteBar[nf][iy] 1 6 -0.004704
rM2iSiteBar[nf][iy] 1 6 2.260420
iSite[nf][iy] 1 7 7
POcclude[nf][iy] 1 7 9.097185e-01
1-POcclude[nf][iy] 1 7 9.028146e-02
PMembraneOcclude[nf][iy] 1 7 0.000000e+00
Prvec0[nf][iy] 1 7 1.742461e-02
rMiSiteBar[nf][iy] 1 7 -0.007668
